d_lat,seed,step,true_sig,true_null,emp_sig,emp_null,ref_sig,ref_null,total_true
10,44,1000000,3.045004367828369,1.7774661779403687,2.752964735031128,1.2279561758041382,6.044006824493408,2.999364137649536,2.4112354278564454
10,44,2000000,3.0506350994110107,1.7881406545639038,2.5573928356170654,1.16330087184906,6.044006824493408,2.999364137649536,2.419388008117676
10,44,3000000,3.0165157318115234,1.793975830078125,2.4651920795440674,1.1230072975158691,6.044006824493408,2.999364137649536,2.4052459716796877
10,44,5000000,3.180758476257324,1.8379204273223877,2.3620944023132324,1.0848219394683838,6.044006824493408,2.999364137649536,2.5093393325805664
10,45,50000,0.2596970200538635,0.2777397036552429,5.118999004364014,2.277261734008789,5.905226707458496,2.926154375076294,0.2687183380126953
10,45,250000,1.864579439163208,1.4992976188659668,3.5786585807800293,1.451424241065979,5.905226707458496,2.926154375076294,1.681938362121582
10,45,500000,2.2759346961975098,1.6043132543563843,3.1572999954223633,1.312423825263977,5.905226707458496,2.926154375076294,1.9401241302490235
10,45,1000000,2.6627554893493652,1.7175061702728271,2.8536007404327393,1.235259771347046,5.905226707458496,2.926154375076294,2.190130615234375
10,45,2000000,2.753293991088867,1.7687389850616455,2.6404521465301514,1.154998540878296,5.905226707458496,2.926154375076294,2.2610164642333985
10,45,3000000,2.7188758850097656,1.726424217224121,2.5830068588256836,1.1157209873199463,5.905226707458496,2.926154375076294,2.222650146484375
10,45,5000000,2.761751890182495,1.719642996788025,2.4565205574035645,1.0797311067581177,5.905226707458496,2.926154375076294,2.240697479248047
10,46,50000,0.2723391354084015,0.2580750584602356,4.973301887512207,2.3005082607269287,5.7985405921936035,2.941479206085205,0.26520709991455077
10,46,250000,1.9220613241195679,1.4720017910003662,3.4476211071014404,1.458533763885498,5.7985405921936035,2.941479206085205,1.697031593322754
10,46,500000,2.435084104537964,1.6471278667449951,3.051975965499878,1.3377825021743774,5.7985405921936035,2.941479206085205,2.041106033325195
10,46,1000000,2.6292407512664795,1.7109081745147705,2.7864787578582764,1.2357929944992065,5.7985405921936035,2.941479206085205,2.170074462890625
10,46,2000000,2.8040614128112793,1.729840874671936,2.5729267597198486,1.1583099365234375,5.7985405921936035,2.941479206085205,2.2669511795043946
10,46,3000000,2.871117115020752,1.75277841091156,2.4590160846710205,1.102211594581604,5.7985405921936035,2.941479206085205,2.311947822570801
10,46,5000000,2.8265182971954346,1.698340654373169,2.414977550506592,1.0872795581817627,5.7985405921936035,2.941479206085205,2.262429428100586
20,42,50000,0.17552995681762695,0.18402037024497986,8.398303985595703,3.435570478439331,8.794636726379395,3.938671350479126,0.18189778327941894
20,42,250000,1.6133511066436768,1.4120032787322998,6.642285346984863,2.519303321838379,8.794636726379395,3.938671350479126,1.4623401641845704
20,42,500000,2.585789442062378,1.7638226747512817,6.097182273864746,2.349562168121338,8.794636726379395,3.938671350479126,1.9693143844604493
20,42,1000000,3.057802200317383,1.86393404006958,5.718823432922363,2.2170803546905518,8.794636726379395,3.938671350479126,2.1624011993408203
20,42,2000000,3.2512481212615967,1.8763107061386108,5.4684247970581055,2.1281189918518066,8.794636726379395,3.938671350479126,2.220044708251953
20,42,3000000,3.217998504638672,1.8728904724121094,5.346098899841309,2.080054759979248,8.794636726379395,3.938671350479126,2.20916748046875
20,42,5000000,3.1943063735961914,1.8293977975845337,5.2297468185424805,2.029538631439209,8.794636726379395,3.938671350479126,2.170624923706055
20,43,50000,0.1860765814781189,0.18749646842479706,8.658056259155273,3.501157522201538,9.088409423828125,3.995173931121826,0.18714150190353393
20,43,250000,1.6225534677505493,1.4388021230697632,6.803269386291504,2.540726661682129,9.088409423828125,3.995173931121826,1.4847398757934571
20,43,500000,2.8184871673583984,1.8063799142837524,6.187621116638184,2.3791921138763428,9.088409423828125,3.995173931121826,2.0594066619873046
20,43,1000000,3.485621690750122,1.9185633659362793,5.83404541015625,2.255978584289551,9.088409423828125,3.995173931121826,2.310327911376953
20,43,2000000,3.4632370471954346,1.9537562131881714,5.674436092376709,2.1781625747680664,9.088409423828125,3.995173931121826,2.331126403808594
20,43,3000000,3.4796841144561768,1.9121623039245605,5.5489912033081055,2.1355814933776855,9.088409423828125,3.995173931121826,2.3040428161621094
20,43,5000000,3.508101224899292,1.9334808588027954,5.422361373901367,2.083153247833252,9.088409423828125,3.995173931121826,2.3271360397338867
20,44,50000,0.20332308113574982,0.1890711635351181,8.68199348449707,3.5388107299804688,9.2048921585083,4.018226146697998,0.19263412952423095
20,44,250000,1.853925108909607,1.4787651300430298,6.809659004211426,2.5533230304718018,9.2048921585083,4.018226146697998,1.5725550651550293
20,44,500000,2.834178924560547,1.7682784795761108,6.231326103210449,2.4004769325256348,9.2048921585083,4.018226146697998,2.0347537994384766
